symbol,exchange,timestamp,funding_rate
ZRXUSDT,gateio,2025-06-04T00:00:00Z,-0.000204
ZRXUSDT,bitget,2025-06-04T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-03T16:00:00Z,-0.000129
ZRXUSDT,bitget,2025-06-03T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-03T08:00:00Z,-0.000139
ZRXUSDT,bitget,2025-06-03T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-03T00:00:00Z,-0.000022
ZRXUSDT,bitget,2025-06-03T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-02T16:00:00Z,-0.000224
ZRXUSDT,bitget,2025-06-02T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-02T08:00:00Z,-0.000021
ZRXUSDT,bitget,2025-06-02T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-02T00:00:00Z,-0.000001
ZRXUSDT,bitget,2025-06-02T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-01T16:00:00Z,0.0001
ZRXUSDT,bitget,2025-06-01T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-01T08:00:00Z,0.0001
ZRXUSDT,bitget,2025-06-01T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-01T00:00:00Z,-0.00003
ZRXUSDT,bitget,2025-06-01T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-05-31T16:00:00Z,0.0001
ZRXUSDT,bitget,2025-05-31T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-05-31T08:00:00Z,-0.000008
ZRXUSDT,bitget,2025-05-31T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-05-31T00:00:00Z,0.0001
ZRXUSDT,bitget,2025-05-31T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-05-30T16:00:00Z,0.0001
ZRXUSDT,bitget,2025-05-30T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-05-30T08:00:00Z,0.0001
ZRXUSDT,bitget,2025-05-30T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-05-30T00:00:00Z,0.0001
ZRXUSDT,bitget,2025-05-30T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-05-29T16:00:00Z,-0.000133
ZRXUSDT,bitget,2025-05-29T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-05-29T08:00:00Z,-0.000258
ZRXUSDT,bitget,2025-05-29T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-05-29T00:00:00Z,0.000024
ZRXUSDT,bitget,2025-05-29T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-05-28T16:00:00Z,0.0001
ZRXUSDT,bitget,2025-05-28T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-05-28T08:00:00Z,0.000075
ZRXUSDT,bitget,2025-05-28T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-05-28T00:00:00Z,-0.000013
ZRXUSDT,bitget,2025-05-28T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-05-27T16:00:00Z,-0.000029
ZRXUSDT,bitget,2025-05-27T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-05-27T08:00:00Z,0.0001
ZRXUSDT,bitget,2025-05-27T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-05-27T00:00:00Z,0.0001
ZRXUSDT,bitget,2025-05-27T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-05-26T16:00:00Z,0.0001
ZRXUSDT,bitget,2025-05-26T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-05-26T08:00:00Z,0.0001
ZRXUSDT,bitget,2025-05-26T08:00:00Z,0.0001
ZRXUSDT,bitget,2025-05-26T00:00:00Z,0.0001
ZRXUSDT,bitget,2025-05-25T16:00:00Z,0.0001
ZRXUSDT,bitget,2025-05-25T08:00:00Z,0.0001
ZRXUSDT,bitget,2025-05-25T00:00:00Z,0.0001
ZRXUSDT,bitget,2025-05-24T16:00:00Z,0.0001
ZRXUSDT,bitget,2025-05-24T08:00:00Z,0.0001
ZRXUSDT,bitget,2025-05-24T00:00:00Z,0.0001
ZRXUSDT,bitget,2025-05-23T16:00:00Z,0.0001
ZRXUSDT,bitget,2025-05-23T08:00:00Z,0.0001
ZRXUSDT,bitget,2025-05-23T00:00:00Z,0.0001
ZROUSDT,gateio,2025-06-25T00:00:00Z,-0.000514
ZROUSDT,bitget,2025-06-25T00:00:00Z,-0.000396
ZROUSDT,gateio,2025-06-24T16:00:00Z,-0.000326
ZROUSDT,bitget,2025-06-24T16:00:00Z,-0.000026
ZROUSDT,gateio,2025-06-24T08:00:00Z,-0.000289
ZROUSDT,bitget,2025-06-24T08:00:00Z,0.00005
ZROUSDT,gateio,2025-06-24T00:00:00Z,0.000003
ZROUSDT,bitget,2025-06-24T00:00:00Z,-0.00014
ZROUSDT,gateio,2025-06-23T16:00:00Z,-0.000199
ZROUSDT,bitget,2025-06-23T16:00:00Z,-0.000035
ZROUSDT,gateio,2025-06-23T08:00:00Z,-0.000338
ZROUSDT,bitget,2025-06-23T08:00:00Z,-0.000574
ZROUSDT,gateio,2025-06-23T00:00:00Z,-0.000328
ZROUSDT,bitget,2025-06-23T00:00:00Z,-0.000468
ZROUSDT,gateio,2025-06-22T16:00:00Z,-0.00033
